"Date","Movie ID (prop69)","Page Views","Unique Visitors"
"October 02, 2021","0",1847,647
"October 02, 2021","100",1,1
"October 02, 2021","100042",1,1
"October 02, 2021","1002",1,1
"October 02, 2021","101635",3,3
"October 02, 2021","102241",2,1
"October 02, 2021","102397",4,2
"October 02, 2021","103060",4,2
"October 02, 2021","103238",1,1
"October 02, 2021","1041",1,1
"October 02, 2021","104397",5,1
"October 02, 2021","104405",2,2
"October 02, 2021","105020",2,2
"October 02, 2021","108100",2,1
"October 02, 2021","109497",2,1
"October 02, 2021","109513",1,1
"October 02, 2021","109947",16,7
"October 02, 2021","110330",1,1
"October 02, 2021","110720",1,1
"October 02, 2021","113718",5,1
"October 02, 2021","114388",2,1
"October 02, 2021","1144",1,1
"October 02, 2021","115300",8,2
"October 02, 2021","115656",1,1
"October 02, 2021","115986",2,1
"October 02, 2021","116957",4,1
"October 02, 2021","117340",16,8
"October 02, 2021","117924",2,1
"October 02, 2021","119193",1,1
"October 02, 2021","119580",1,1
"October 02, 2021","121009",1,1
"October 02, 2021","122304",3,1
"October 02, 2021","123556",1,1
"October 02, 2021","125047",1,1
"October 02, 2021","125871",1,1
"October 02, 2021","126230",29,14
"October 02, 2021","126406",3,1
"October 02, 2021","126497",2,1
"October 02, 2021","127017",1,1
"October 02, 2021","128370",120,72
"October 02, 2021","128416",1,1
"October 02, 2021","1298",8,1
"October 02, 2021","129964",1,1
"October 02, 2021","129993",2,1
"October 02, 2021","130789",1,1
"October 02, 2021","131086",1,1
"October 02, 2021","131438",1,1
"October 02, 2021","131571",2,1
"October 02, 2021","133051",3,1
"October 02, 2021","133806",3,1
"October 02, 2021","136712",6,4
"October 02, 2021","136719",4,3
"October 02, 2021","136731",1,2
"October 02, 2021","136742",1,1
"October 02, 2021","1382",7,5
"October 02, 2021","138436",1,1
"October 02, 2021","139790",3,2
"October 02, 2021","140093",4,2
"October 02, 2021","140383",7,1
"October 02, 2021","141345",9,1
"October 02, 2021","1415",1,1
"October 02, 2021","142040",2,1
"October 02, 2021","142176",1,1
"October 02, 2021","1433",1,1
"October 02, 2021","1439",1,1
"October 02, 2021","144",6,1
"October 02, 2021","145508",5,1
"October 02, 2021","145853",2,1
"October 02, 2021","146",12,5
"October 02, 2021","146446",1,1
"October 02, 2021","147743",1,1
"October 02, 2021","147745",3,1
"October 02, 2021","147747",2,1
"October 02, 2021","148235",2,1
"October 02, 2021","149367",2,1
"October 02, 2021","149560",7,3
"October 02, 2021","151462",2,1
"October 02, 2021","151957",3,1
"October 02, 2021","152324",1,1
"October 02, 2021","154045",1,1
"October 02, 2021","154735",1,1
"October 02, 2021","155547",1,1
"October 02, 2021","15578",5,1
"October 02, 2021","155821",1,1
"October 02, 2021","155962",2,1
"October 02, 2021","1560",4,2
"October 02, 2021","156279",1,1
"October 02, 2021","156280",1,1
"October 02, 2021","157231",8,1
"October 02, 2021","157897",6,1
"October 02, 2021","157900",3,1
"October 02, 2021","159277",1,1
"October 02, 2021","159278",1,1
"October 02, 2021","160268",1,1
"October 02, 2021","160348",7,2
"October 02, 2021","161125",1,1
"October 02, 2021","161126",4,2
"October 02, 2021","161875",9,5
"October 02, 2021","163445",1,1
"October 02, 2021","1636",3,2
"October 02, 2021","164333",1,1
"October 02, 2021","164481",19,10
"October 02, 2021","165790",1,1
"October 02, 2021","165809",4,1
"October 02, 2021","166154",2,1
"October 02, 2021","166960",2,1
"October 02, 2021","167725",3,1
"October 02, 2021","167741",1,1
"October 02, 2021","168082",10,2
"October 02, 2021","169804",1,1
"October 02, 2021","169836",1,1
"October 02, 2021","170044",4,2
"October 02, 2021","170261",2,1
"October 02, 2021","172052",1,1
"October 02, 2021","17292",3,2
"October 02, 2021","173165",1,1
"October 02, 2021","173539",4,1
"October 02, 2021","175203",3,1
